SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,PLAYER_ID,fantasy_points
22023,201939,22300757,"Feb 10, 2024",GSW vs. PHX,W,34,10,22,0.455,9,16,0.563,1,2,0.5,1,8,9,6,1,0,3,0,30,10,1,201939,49.25
22023,201939,22300733,"Feb 08, 2024",GSW @ IND,W,30,15,22,0.682,11,16,0.688,1,2,0.5,0,2,2,2,0,1,2,2,42,13,1,201939,48.5
22023,201939,22300727,"Feb 07, 2024",GSW @ PHI,W,25,2,7,0.286,1,4,0.25,4,4,1.0,0,3,3,1,0,1,4,2,9,13,1,201939,13.25
22023,201939,22300717,"Feb 05, 2024",GSW @ BKN,W,34,12,24,0.5,4,11,0.364,1,1,1.0,1,4,5,3,0,0,4,2,29,6,1,201939,35.75
22023,201939,22300699,"Feb 03, 2024",GSW @ ATL,L,41,22,38,0.579,10,23,0.435,6,6,1.0,1,5,6,4,0,1,2,1,60,-1,1,201939,74.5
22023,201939,22300693,"Feb 02, 2024",GSW @ MEM,W,32,6,16,0.375,4,9,0.444,4,4,1.0,0,6,6,6,1,0,3,1,20,12,1,201939,35.5
22023,201939,22300673,"Jan 30, 2024",GSW vs. PHI,W,35,12,17,0.706,8,13,0.615,5,5,1.0,1,7,8,7,0,1,5,2,37,26,1,201939,55.5
22023,201939,22300650,"Jan 27, 2024",GSW vs. LAL,L,43,17,35,0.486,9,21,0.429,3,3,1.0,0,3,3,7,1,0,4,4,46,-2,1,201939,58.25
22023,201939,22300632,"Jan 25, 2024",GSW vs. SAC,L,36,13,26,0.5,6,14,0.429,1,1,1.0,1,5,6,2,1,0,2,0,33,-8,1,201939,43.5
22023,201939,22300626,"Jan 24, 2024",GSW vs. ATL,W,31,7,16,0.438,5,8,0.625,6,6,1.0,0,3,3,8,0,0,1,3,25,9,1,201939,39.75
22023,201939,22300560,"Jan 15, 2024",GSW @ MEM,L,33,11,20,0.55,3,9,0.333,1,1,1.0,1,3,4,8,2,1,5,4,26,-2,1,201939,45.0
22023,201939,22300536,"Jan 12, 2024",GSW @ CHI,W,35,8,24,0.333,6,15,0.4,5,5,1.0,0,5,5,9,1,0,1,1,27,5,1,201939,47.75
22023,201939,22300525,"Jan 10, 2024",GSW vs. NOP,L,25,4,13,0.308,3,8,0.375,4,4,1.0,0,1,1,6,1,0,3,0,15,-4,1,201939,24.25
22023,201939,22300504,"Jan 07, 2024",GSW vs. TOR,L,30,2,14,0.143,0,9,0.0,5,5,1.0,0,1,1,6,0,0,2,3,9,-17,1,201939,17.25
22023,201939,22300490,"Jan 05, 2024",GSW vs. DET,W,31,7,19,0.368,4,12,0.333,8,9,0.889,0,6,6,4,1,1,4,0,26,0,1,201939,40.5
22023,201939,22300478,"Jan 04, 2024",GSW vs. DEN,L,35,11,23,0.478,5,12,0.417,3,3,1.0,0,4,4,6,1,1,2,1,30,-1,1,201939,47.0
22023,201939,22300463,"Jan 02, 2024",GSW vs. ORL,W,35,12,20,0.6,4,9,0.444,8,11,0.727,1,1,2,6,4,1,2,4,36,12,1,201939,56.5
22023,201939,22300444,"Dec 30, 2023",GSW vs. DAL,L,35,9,25,0.36,6,15,0.4,1,1,1.0,0,2,2,7,1,0,3,3,25,-6,1,201939,37.0
22023,201939,22300426,"Dec 28, 2023",GSW vs. MIA,L,32,3,15,0.2,2,8,0.25,5,6,0.833,0,4,4,5,2,1,1,1,13,-14,1,201939,31.5
22023,201939,22300402,"Dec 25, 2023",GSW @ DEN,L,34,7,21,0.333,3,13,0.231,1,1,1.0,1,1,2,4,1,1,3,4,18,-26,1,201939,28.5
22023,201939,22300399,"Dec 23, 2023",GSW vs. POR,W,30,11,18,0.611,2,7,0.286,3,3,1.0,0,3,3,2,0,0,1,1,27,4,1,201939,32.75
22023,201939,22300386,"Dec 22, 2023",GSW vs. WAS,W,27,9,18,0.5,8,13,0.615,4,5,0.8,0,4,4,7,0,1,2,0,30,-1,1,201939,46.5
